Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1000uF,CP_Radial_D10.0mm_P5.00mm,126.564646,-56.7,0.0,top
C2,10uF,C_Disc_D5.0mm_W2.5mm_P2.50mm,124.8,-63.95,-90.0,top
C3,2.2uF,C_Disc_D5.0mm_W2.5mm_P2.50mm,111.2,-64.05,-90.0,top
C4,1000uF,CP_Radial_D10.0mm_P5.00mm,109.348,-56.7,180.0,top
C5,0.1uf,C_Disc_D5.0mm_W2.5mm_P2.50mm,56.8,-42.65,-90.0,top
D1,1N5408,1N5408,104.8,-70.5,-90.0,top
J1,Conn_01x15_Female,PinSocket_1x15_P2.54mm_Vertical,64.23,-33.49,-90.0,top
J2,Conn_01x15_Female,PinSocket_1x15_P2.54mm_Vertical,64.28,-48.7,-90.0,top
J3,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,96.96,-31.1,90.0,top
J4,Screw_Terminal_01x04,"TerminalBlock_Phoenix_PT-1,5-4-5.0-H_1x04_P5.00mm_Horizontal",126.5,-90.322,180.0,top
J5,Screw_Terminal_01x04,"TerminalBlock_Phoenix_PT-1,5-4-5.0-H_1x04_P5.00mm_Horizontal",110.1,-29.9,0.0,top
J6,Motor1 GRV,Grove,50.6,-26.9,0.0,top
J7,Conn_01x06_Female,PinSocket_1x06_P2.54mm_Vertical,79.1,-26.9,90.0,top
J8,Motor1,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,34.09,-27.92,0.0,top
R1,2.7K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,96.5,-46.38,90.0,top
R2,800,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,101.9,-46.38,90.0,top
RG1,mEZD71202A,mEZD71201A,112.951323,-51.675,0.0,top
U1,PC817,PC817,77.7,-42.3,180.0,top
